Event/Description,Position,A/C,Dimension,To go,Expected,Planned,Workpackage,W/O-Flags
REPLACE RT-A1200/D58319616 (HALON PORTABLE EXTINGUISHER),FW2,CMB,D,122,13.11.2025,---,0,
REPLACE RT-A1200/D58319615 (HALON PORTABLE EXTINGUISHER),AF1,CPJ,D,122,13.11.2025,---,0,
E190-29-0007/AIR BLEEDING OF THE HYDRAULIC SYSTEMS(3),,GIK,H,1105:44,13.11.2025,---,0,
BC01/W8266808 /BASIC CHECK 1,,CET,H,1112:41,14.11.2025,01.02.2026,CET28956,8266808
E190-25-0008/W9731186 /TOURIST SEAT BACKREST PIVOT - DRY LUBE PROCEDURE.,,CET,H,1112:41,14.11.2025,01.02.2026,CET28956,9731186
E190-29-0007/AIR BLEEDING OF THE HYDRAULIC SYSTEMS(3),,CHS,H,1121:13,14.11.2025,---,0,
"COMP-71-0030/CF34-10E - ENGINE WASHING, CLEANING CONSOLIDATED ON-WING INSPECTION",R,CID,H,1110:34,14.11.2025,---,0,
"COMP-71-0030/CF34-10E - ENGINE WASHING, CLEANING CONSOLIDATED ON-WING INSPECTION",L,CID,H,1110:34,14.11.2025,---,0,
IC01/INTERMEDIATE CHECK 1(1),,CIF,H,1118:47,14.11.2025,---,0,
"E190-51-0002/CLEANING AND RESTORATION OF CORROSION INHIBITION COMPOUND (CIC), IN ML(1)",,CIF,H,1118:47,14.11.2025,---,0,
E190-52-0002/PAX AND SERVICE DOORS - LUBRICATION POINTS ACCORDING TO(1),,CIF,H,1118:47,14.11.2025,---,0,
E190-24-0001/SPDA CLEANING PROGRAM(1),,CIF,H,1118:47,14.11.2025,---,0,
E190-25-0016/EGA CHART INSTALLATION CHECK(1),,CIF,H,1118:47,14.11.2025,---,0,
E190-21-0005/REPLACEMENT PROGRAM OF TRIM AIR MODULATING FILTERS(1),,CIF,H,1118:47,14.11.2025,---,0,
E190-21-0003/REPLACE PROGRAM OF THE PACK BYPASS VALVE FILTERS(1),,CIF,H,1118:47,14.11.2025,---,0,
E190-44-0001/IFE - CLEANING OF THE EQUIPMENT AND REPLACEMENT OF FILTERS(1),,CIF,H,1118:47,14.11.2025,---,0,
27-00-00-001C-U (0) / POWER CONTROL UNITS (PCU) - INTEGRITY TEST (1),,CIF,H,1118:47,14.11.2025,---,0,
FF350FH/FUERA DE FASE 350 FH(3),,CIG,H,1110:40,14.11.2025,---,0,
FF350FH/FUERA DE FASE 350 FH(3),,CDY,H,1120:33,15.11.2025,---,0,
FF350FH/FUERA DE FASE 350 FH(3),,CHQ,H,1127:29,15.11.2025,---,0,
E190-08-0001/AIRCRAFT WEIGHING AND LONGITUDINAL C.G CALCULATION,,CKZ,D,124,15.11.2025,---,0,
REPLACE 453-5000/210-06642 (ELT MAIN ASSEMBLY),U,GIK,D,124,15.11.2025,---,0,
DK120/90/AT54513 TE(TESTING) / TESTING,F,GIQ,ID,124,15.11.2025,---,0,
REPLACE 90002317-2WT/JUL10-2915 (MAIN WHEEL TIRE ASSY),R01,GIQ,C,813,15.11.2025,---,0,
E190-31-0002/MAU GABINET VENTILATION ZONE CLEANING,,CHQ,H,1137:38,16.11.2025,---,0,
FF350FH/FUERA DE FASE 350 FH(3),,CHR,H,1133:47,16.11.2025,---,0,
FF7500FH/6250FC/FUERA DE FASE FF 7500 FH/6250 FC,,CHQ,H,1142:14,17.11.2025,---,0,
E190-26-0002/W11122862 /FIRE PROTECTION - COLOR CODED IDENTIFICATION FOR ELECTRICAL WIRING CON,,CHR,H,1138:56,17.11.2025,---,0,11122862
E190-34-0004/MODULAR RADIO CABINET - CLEANING,,CPJ,H,1144:23,17.11.2025,---,0,
E190-29-0006/HYDRAULIC SYSTEM #1 AND #2 - CASE DRAIN FILTER REPLACEMENT,,CPJ,H,1139:47,17.11.2025,---,0,
FF350FH/FUERA DE FASE 350 FH(3),,FPT,H,1134:01,17.11.2025,---,0,
E190-29-0007/AIR BLEEDING OF THE HYDRAULIC SYSTEMS(3),,FPT,H,1134:53,17.11.2025,---,0,
REPLACE 90000581-1WTA/SEP07-1811 (NOSE WHEEL TIRE ASSY),002,GIK,C,821,17.11.2025,---,0,
"REPLACE 104005-1/EE1763 (SLIDE ASSY, AFT)",PAX,CET,D,127,18.11.2025,---,0,
FF350FH/FUERA DE FASE 350 FH(3),,CHS,H,1158:32,18.11.2025,---,0,
E190-34-0001/WEATHER RADAR – ELECTRICAL WIRING INSPECTION(1),,CMB,D,127,18.11.2025,---,0,
E190-08-0001/AIRCRAFT WEIGHING AND LONGITUDINAL C.G CALCULATION,,CPJ,D,127,18.11.2025,---,0,
E190-29-0007/AIR BLEEDING OF THE HYDRAULIC SYSTEMS(3),,GIQ,H,1151:11,18.11.2025,---,0,
E190-34-0003/EGPWS TERRAIN THREAT DATABASE + ENVELOPE MODULATION DATABASE UPDATING(2),,CDY,D,128,19.11.2025,---,0,
DK120/90/AT74165 TE(TESTING) / TESTING,F,CDY,ID,128,19.11.2025,---,0,
E190-34-0003/EGPWS TERRAIN THREAT DATABASE + ENVELOPE MODULATION DATABASE UPDATING(2),,CDZ,D,128,19.11.2025,---,0,
E190-34-0003/EGPWS TERRAIN THREAT DATABASE + ENVELOPE MODULATION DATABASE UPDATING(2),,CET,D,128,19.11.2025,---,0,
FF350FH/FUERA DE FASE 350 FH(3),,CEU,H,1154:46,19.11.2025,---,0,
E190-34-0003/EGPWS TERRAIN THREAT DATABASE + ENVELOPE MODULATION DATABASE UPDATING(2),,CEU,D,128,19.11.2025,---,0,
FF350FH/FUERA DE FASE 350 FH(3),,CEV,H,1163:16,19.11.2025,---,0,
E190-34-0003/EGPWS TERRAIN THREAT DATABASE + ENVELOPE MODULATION DATABASE UPDATING(2),,CEV,D,128,19.11.2025,---,0,
E190-34-0003/EGPWS TERRAIN THREAT DATABASE + ENVELOPE MODULATION DATABASE UPDATING(2),,CHO,D,128,19.11.2025,---,0,
E190-34-0003/EGPWS TERRAIN THREAT DATABASE + ENVELOPE MODULATION DATABASE UPDATING(2),,CHQ,D,128,19.11.2025,---,0,
REPLACE 90002317-2WT/AUG14-4859 (MAIN WHEEL TIRE ASSY),R02,CHQ,C,835,19.11.2025,---,0,
REPLACE 473597-18/SFA0462 (DETECTOR-SMOKE MODEL),C,CHQ,H,1167:02,19.11.2025,---,0,
E190-34-0003/EGPWS TERRAIN THREAT DATABASE + ENVELOPE MODULATION DATABASE UPDATING(2),,CHR,D,128,19.11.2025,---,0,
E190-34-0003/EGPWS TERRAIN THREAT DATABASE + ENVELOPE MODULATION DATABASE UPDATING(2),,CHS,D,128,19.11.2025,---,0,
E190-34-0003/EGPWS TERRAIN THREAT DATABASE + ENVELOPE MODULATION DATABASE UPDATING(2),,CID,D,128,19.11.2025,---,0,
E190-34-0003/EGPWS TERRAIN THREAT DATABASE + ENVELOPE MODULATION DATABASE UPDATING(2),,CIE,D,128,19.11.2025,---,0,
E190-34-0003/EGPWS TERRAIN THREAT DATABASE + ENVELOPE MODULATION DATABASE UPDATING(2),,CIF,D,128,19.11.2025,---,0,
E190-34-0003/EGPWS TERRAIN THREAT DATABASE + ENVELOPE MODULATION DATABASE UPDATING(2),,CIG,D,128,19.11.2025,---,0,
E190-34-0003/EGPWS TERRAIN THREAT DATABASE + ENVELOPE MODULATION DATABASE UPDATING(2),,CIH,D,128,19.11.2025,---,0,
E190-34-0003/EGPWS TERRAIN THREAT DATABASE + ENVELOPE MODULATION DATABASE UPDATING(2),,CKZ,D,128,19.11.2025,---,0,
E190-34-0003/EGPWS TERRAIN THREAT DATABASE + ENVELOPE MODULATION DATABASE UPDATING(2),,CMA,D,128,19.11.2025,---,0,
FF350FH/FUERA DE FASE 350 FH(3),,CMB,H,1158:39,19.11.2025,---,0,
E190-34-0003/EGPWS TERRAIN THREAT DATABASE + ENVELOPE MODULATION DATABASE UPDATING(2),,CMB,D,128,19.11.2025,---,0,
E190-34-0003/EGPWS TERRAIN THREAT DATABASE + ENVELOPE MODULATION DATABASE UPDATING(2),,CPI,D,128,19.11.2025,---,0,
E190-34-0003/EGPWS TERRAIN THREAT DATABASE + ENVELOPE MODULATION DATABASE UPDATING(2),,CPJ,D,128,19.11.2025,---,0,
E190-34-0003/EGPWS TERRAIN THREAT DATABASE + ENVELOPE MODULATION DATABASE UPDATING(2),,FPT,D,128,19.11.2025,---,0,
E190-34-0003/EGPWS TERRAIN THREAT DATABASE + ENVELOPE MODULATION DATABASE UPDATING(2),,GIQ,D,128,19.11.2025,---,0,
GNRL-25-0008/CABIN INTERIOR - AIRCRAFT DISINSECTION(2),,CDZ,D,129,20.11.2025,---,0,
FF180MO/FF180MO,,CHR,D,129,20.11.2025,---,0,
GNRL-25-0008/CABIN INTERIOR - AIRCRAFT DISINSECTION(2),,CHR,D,129,20.11.2025,---,0,
REPLACE 501-1228-04/83632 (FLY-BY-WIRE BATTERY),U,CHS,D,129,20.11.2025,---,0,
FF350FH/FUERA DE FASE 350 FH(3),,CIH,H,1167:19,20.11.2025,---,0,
E190-34-0001/WEATHER RADAR – ELECTRICAL WIRING INSPECTION(1),,CIH,D,129,20.11.2025,---,0,
E190-54-0020/LH PYLON LOWER LONK LUGS INSPECTION(1),,CKZ,H,1169:33,20.11.2025,---,0,
E190-54-0021/RH PYLON LOWER LONK LUGS INSPECTION(1),,CKZ,H,1169:33,20.11.2025,---,0,
REPLACE 90002317-2WT/SEP10-2982 (MAIN WHEEL TIRE ASSY),R02,CMA,C,842,20.11.2025,---,0,
FF6MO/FUERA DE FASE DE 6 MO,,GIK,D,129,20.11.2025,---,0,
GNRL-38-0001/POTABLE WATER SYSTEM. INCORPORATION OF STERILIZATION CONTROL CHART,,GIK,D,129,20.11.2025,---,0,
53-10-009-0004-U (0) / FORWARD SERVICE DOOR CUTOUT STRUCTURE – INTERNAL,,CDY,C,846,21.11.2025,---,0,
53-10-008-0004-U (0) / FORWARD PASSENGER DOOR CUTOUT STRUCTURE - INTERNAL,,CDY,C,846,21.11.2025,---,0,
REPLACE 473597-18/6753 (DETECTOR-SMOKE MODEL),FW2,CDZ,H,1170:09,21.11.2025,---,0,
E190-29-0007/AIR BLEEDING OF THE HYDRAULIC SYSTEMS(3),,CEU,H,1178:02,21.11.2025,---,0,
GNRL-25-0008/CABIN INTERIOR - AIRCRAFT DISINSECTION(2),,CIE,D,130,21.11.2025,---,0,
GNRL-25-0008/CABIN INTERIOR - AIRCRAFT DISINSECTION(2),,CIF,D,130,21.11.2025,---,0,
E190-29-0007/AIR BLEEDING OF THE HYDRAULIC SYSTEMS(3),,CIF,H,1178:48,21.11.2025,---,0,
REPLACE 501-1228-04/83479 (FLY-BY-WIRE BATTERY),U,CIH,D,130,21.11.2025,---,0,
REPLACE 90002317-2WT/OCT10-3059/3255 (MAIN WHEEL TIRE ASSY),L02,FPT,C,848,21.11.2025,---,0,
"COMP-71-0030/CF34-10E - ENGINE WASHING, CLEANING CONSOLIDATED ON-WING INSPECTION",L,CEV,H,1187:32,22.11.2025,---,0,
57-40-011-0493-U (0)/W11024953 / WING FIXED LEADING EDGE SKIN - EXTERNAL,,CEV,C,854,22.11.2025,23.11.2025,CEV30965,11024953
"COMP-71-0030/CF34-10E - ENGINE WASHING, CLEANING CONSOLIDATED ON-WING INSPECTION",L,CHS,H,1190:24,22.11.2025,---,0,
"COMP-71-0030/CF34-10E - ENGINE WASHING, CLEANING CONSOLIDATED ON-WING INSPECTION",R,CHS,H,1190:24,22.11.2025,---,0,
REPLACE 453-5000/170-12657 (ELT MAIN ASSEMBLY),U,CIG,D,131,22.11.2025,---,0,
COMP-71-0015/CF34-10E - FAN BLADE LUBRICATION CONSOLIDATED ON-WING INSPECTION RECOM,L,CIH,C,857,22.11.2025,---,0,
GNRL-25-0008/CABIN INTERIOR - AIRCRAFT DISINSECTION(2),,CPI,D,131,22.11.2025,---,0,
GNRL-25-0008/CABIN INTERIOR - AIRCRAFT DISINSECTION(2),,GIQ,D,131,22.11.2025,---,0,
GNRL-25-0008/CABIN INTERIOR - AIRCRAFT DISINSECTION(2),,CHO,D,132,23.11.2025,---,0,
FF350FH/FUERA DE FASE 350 FH(3),,CKZ,H,1193:56,23.11.2025,---,0,
GNRL-25-0008/CABIN INTERIOR - AIRCRAFT DISINSECTION(2),,CKZ,D,132,23.11.2025,---,0,
IC05/INTERMEDIATE CHECK 5,,CMB,H,1193:19,23.11.2025,---,0,
"E190-54-0022/W11670769 /LH PYLON, AFT FAIRING, HEAT SHIELD GRILL - REPETITIVE INSPECTIONS",,CMB,C,864,23.11.2025,14.09.2025,CMB28951,11670769
E190-34-0001/WEATHER RADAR – ELECTRICAL WIRING INSPECTION(1),,CID,D,133,24.11.2025,---,0,
FF13750FH/W8266401 /FUERA DE FASE 13750 FH,,CMB,H,1205:51,24.11.2025,14.09.2025,CMB28951,8266401
REPLACE 90002317-2WT/JUL10-2863 (MAIN WHEEL TIRE ASSY),L01,GIK,C,866,24.11.2025,---,0,
COMP-71-0016/CF34-10E - MAIN IGNITER PLUG REPLACEMENT,L,CHQ,H,1221:42,25.11.2025,---,0,
FF180MO/W8658559 /FF180MO,,CHS,D,134,25.11.2025,09.11.2025,CHS28955,8658559
FF350FH/FUERA DE FASE 350 FH(3),,CPJ,H,1213:31,25.11.2025,---,0,
IC01/INTERMEDIATE CHECK 1(1),,FPT,H,1206:38,25.11.2025,---,0,
E190-29-0006/HYDRAULIC SYSTEM #1 AND #2 - CASE DRAIN FILTER REPLACEMENT,,FPT,H,1206:06,25.11.2025,---,0,
E190-52-0002/PAX AND SERVICE DOORS - LUBRICATION POINTS ACCORDING TO(1),,FPT,H,1206:38,25.11.2025,---,0,
E190-21-0003/REPLACE PROGRAM OF THE PACK BYPASS VALVE FILTERS(1),,FPT,H,1206:38,25.11.2025,---,0,
E190-21-0005/REPLACEMENT PROGRAM OF TRIM AIR MODULATING FILTERS(1),,FPT,H,1206:38,25.11.2025,---,0,
E190-24-0001/SPDA CLEANING PROGRAM(1),,FPT,H,1206:38,25.11.2025,---,0,
"E190-51-0002/CLEANING AND RESTORATION OF CORROSION INHIBITION COMPOUND (CIC), IN ML(1)",,FPT,H,1206:38,25.11.2025,---,0,
E190-25-0016/EGA CHART INSTALLATION CHECK(1),,FPT,H,1206:38,25.11.2025,---,0,
E190-44-0001/IFE - CLEANING OF THE EQUIPMENT AND REPLACEMENT OF FILTERS(1),,FPT,H,1206:38,25.11.2025,---,0,
27-00-00-001C-U (0) / POWER CONTROL UNITS (PCU) - INTEGRITY TEST (1),,FPT,H,1206:38,25.11.2025,---,0,
REPLACE 453-5000/170-12942 (ELT MAIN ASSEMBLY),U,CDZ,D,135,26.11.2025,---,0,
E190-54-0021/RH PYLON LOWER LONK LUGS INSPECTION(1),,CEU,H,1224:48,26.11.2025,---,0,
E190-54-0020/LH PYLON LOWER LONK LUGS INSPECTION(1),,CEU,H,1224:48,26.11.2025,---,0,
"COMP-71-0030/CF34-10E - ENGINE WASHING, CLEANING CONSOLIDATED ON-WING INSPECTION",R,CEV,H,1219:44,26.11.2025,---,0,
52-30-003-1085-U (0)/W11025191 / AFT CARGO DOOR PIANO HINGE - EXTERNAL,,CEV,C,879,26.11.2025,23.11.2025,CEV30965,11025191
52-30-003-1084-U (0)/W11025190 / FORWARD CARGO DOOR PIANO HINGE - EXTERNAL,,CEV,C,879,26.11.2025,23.11.2025,CEV30965,11025190
53-22-010-1182-U (0)/W11025196 / CENTER FUSELAGE II LONGITUDINAL SPLICES - EXTERNAL,,CEV,C,879,26.11.2025,23.11.2025,CEV30965,11025196
53-22-015-1169-U (0)/W11025197 / CENTER FUSELAGE II CIRCUMFERENTIAL SKIN SPLICES AND STRINGER SPLICES - EXTERNAL,,CEV,C,879,26.11.2025,23.11.2025,CEV30965,11025197
57-50-025-1298-U (0)/W11024962 / INBOARD AND OUTBOARD MAIN AND INBOARD AFT FLAP RAILS -INTERNAL,,CEV,C,879,26.11.2025,23.11.2025,CEV30965,11024962
57-50-025-0001-U (0)/W11024963 / FLAP TRACK SUPPORT 01 MAIN AND AFT FLAP RAILS -INTERNAL,,CEV,C,879,26.11.2025,23.11.2025,CEV30965,11024963
REPLACE 90002317-2WT/JUN07-1221 (MAIN WHEEL TIRE ASSY),L02,CEV,C,879,26.11.2025,---,0,
IC04/INTERMEDIATE CHECK 4,,CHO,H,1218:28,26.11.2025,---,0,
E190-53-0177/LV-CMB - REPETITIVE INSPECTIONS ON TEMPORARY REPAIR,,CMB,C,883,26.11.2025,---,0,
FF350FH/FUERA DE FASE 350 FH(3),,CPI,H,1221:25,26.11.2025,---,0,
E190-54-0021/RH PYLON LOWER LONK LUGS INSPECTION(1),,CPI,H,1222:28,26.11.2025,---,0,
E190-54-0020/LH PYLON LOWER LONK LUGS INSPECTION(1),,CPI,H,1222:28,26.11.2025,---,0,
FF6MO/FUERA DE FASE DE 6 MO,,CDY,D,136,27.11.2025,---,0,
GNRL-38-0001/POTABLE WATER SYSTEM. INCORPORATION OF STERILIZATION CONTROL CHART,,CDY,D,136,27.11.2025,---,0,
COMP-71-0015/CF34-10E - FAN BLADE LUBRICATION CONSOLIDATED ON-WING INSPECTION RECOM,L,CMA,C,887,27.11.2025,---,0,
57-70-001-1290-RH (0) / RH SPOILER HINGE FITTINGS AND ACTUATOR FITTINGS - EXTERNAL,,CPI,C,887,27.11.2025,---,0,
57-70-001-1290-LH (0) / LH SPOILER HINGE FITTINGS AND ACTUATOR FITTINGS - EXTERNAL,,CPI,C,886,27.11.2025,---,0,
FF2500FH/2000FC/12MO/FUERA DE FASE 2500 FH/2000 FC/12 MO,,CDY,H,1236:45,28.11.2025,---,0,
REPLACE 15-40F80/74381037 (PBE-PROTECTIVE),002,CET,D,137,28.11.2025,---,0,
FF350FH/FUERA DE FASE 350 FH(3),,CHO,H,1241:39,28.11.2025,---,0,
REPLACE 15-40F-80/74132-009 (PBE MASK),001,CKZ,D,137,28.11.2025,---,0,
REPLACE 01N65920/10 35 5471 (ELT (MODEL 406S)),U,CPI,D,137,28.11.2025,---,0,
REPLACE 15-40F80/74381027 (PBE-PROTECTIVE),004,CPI,D,137,28.11.2025,---,0,
COMP-71-0015/CF34-10E - FAN BLADE LUBRICATION CONSOLIDATED ON-WING INSPECTION RECOM,L,FPT,C,895,28.11.2025,---,0,
GNRL-23-0001/ANNUAL OPERATIONAL TEST OF THE COCKPIT VOICE RECORDER.,,GIQ,D,137,28.11.2025,---,0,
GNRL-31-0001/PERIODIC READ OUT OF FDR,,GIQ,D,137,28.11.2025,---,0,
REPLACE 501-1228-04/83919 (FLY-BY-WIRE BATTERY),U,CDZ,D,138,29.11.2025,---,0,
IC02/INTERMEDIATE CHECK 2,,CMA,H,1257:12,29.11.2025,---,0,
E190-21-0004/REPLACE PROGRAM OF THE FORWARD CARGO COMPARTMENT SHUTOFF VALVE FILTER,,CMA,H,1257:12,29.11.2025,---,0,
E190-38-0002/VACCUM WATER WASTE DRAIN CAP INSPECTION CAMPAIGN,,CMA,H,1257:12,29.11.2025,---,0,
E190-36-0002/REPLACE PROGRAM OF THE HIGH-STAGE BLEED VALVE FILTERS PN 808574-6,,CMA,H,1257:12,29.11.2025,---,0,
E190-36-0001/REPLACEMENT PROGRAM OF THE CROSS-BLEED VALVE FILTER PN 727604-5 (OEM),,CMA,H,1257:12,29.11.2025,---,0,
E190-21-0009/DUAL HEAT EXCHANGERS - PERFORMANCE TEST,,CMA,H,1257:12,29.11.2025,---,0,
E190-21-0007/FORWARD AND MIDDLE AVIONICS COMPARTMENT FLOW SENSORS CLEANING,,CMA,H,1257:12,29.11.2025,---,0,
"REPLACE 104005-1/EE1271 (SLIDE ASSY, AFT)",SVC,FPT,D,138,29.11.2025,---,0,
REPLACE 90002317-2WT/OCT07-1368 (MAIN WHEEL TIRE ASSY),L01,FPT,C,897,29.11.2025,---,0,
E190-54-0021/RH PYLON LOWER LONK LUGS INSPECTION(1),,GIK,H,1251:29,29.11.2025,---,0,
E190-54-0020/LH PYLON LOWER LONK LUGS INSPECTION(1),,GIK,H,1251:29,29.11.2025,---,0,
IC02/INTERMEDIATE CHECK 2,,CDZ,H,1258:18,30.11.2025,---,0,
E190-21-0004/REPLACE PROGRAM OF THE FORWARD CARGO COMPARTMENT SHUTOFF VALVE FILTER,,CDZ,H,1258:18,30.11.2025,---,0,
E190-21-0009/DUAL HEAT EXCHANGERS - PERFORMANCE TEST,,CDZ,H,1258:18,30.11.2025,---,0,
E190-21-0007/FORWARD AND MIDDLE AVIONICS COMPARTMENT FLOW SENSORS CLEANING,,CDZ,H,1258:18,30.11.2025,---,0,
"GNRL-11-0005/EXTERIOR SCHEME - SECRETARIA DE TURISMO ""MARCA PAIS"" LOGO"" 2022 REPETI",,CDZ,H,1258:18,30.11.2025,---,0,
E190-36-0001/REPLACEMENT PROGRAM OF THE CROSS-BLEED VALVE FILTER PN 727604-5 (OEM),,CDZ,H,1258:18,30.11.2025,---,0,
E190-36-0002/REPLACE PROGRAM OF THE HIGH-STAGE BLEED VALVE FILTERS PN 808574-6,,CDZ,H,1258:18,30.11.2025,---,0,
E190-38-0002/VACCUM WATER WASTE DRAIN CAP INSPECTION CAMPAIGN,,CDZ,H,1258:18,30.11.2025,---,0,
REPLACE 33600081-3/54671D1 (FIREX BOTTLE 224 CU),001,CEU,D,139,30.11.2025,---,0,
REPLACE 90002317-2WT/AUG07-1325 (MAIN WHEEL TIRE ASSY),R02,CEV,C,910,30.11.2025,---,0,
"COMP-71-0030/CF34-10E - ENGINE WASHING, CLEANING CONSOLIDATED ON-WING INSPECTION",L,CIG,H,1253:38,30.11.2025,---,0,
FF2500FH/2000FC/12MO/FUERA DE FASE 2500 FH/2000 FC/12 MO,,CIH,H,1253:59,30.11.2025,---,0,
REPLACE 90002317-2WT/SEP10-2979 (MAIN WHEEL TIRE ASSY),L01,CKZ,C,910,30.11.2025,---,0,
GNRL-23-0001/ANNUAL OPERATIONAL TEST OF THE COCKPIT VOICE RECORDER.,,CMB,D,139,30.11.2025,---,0,
COMP-26-0002/PROCEDURE FOR REMOVAL AND PROCESSING OF FIRE EXTINGUISHING,U,GIK,D,139,30.11.2025,---,0,
COMP-26-0002/PROCEDURE FOR REMOVAL AND PROCESSING OF FIRE EXTINGUISHING,U,GIK,D,139,30.11.2025,---,0,
REPLACE 446736/AEC8545 (CARTRIDGE- POWER DEV),U,GIK,D,139,30.11.2025,---,0,
REPLACE 446736/AEC8530 (CARTRIDGE- POWER DEV),U,GIK,D,139,30.11.2025,---,0,
REPLACE 5500-C1W-BF15A/P10121345 (PORTABLE OXYGEN CYLINDER),AF1,CET,D,140,01.12.2025,---,0,
REPLACE 5500-C1W-BF15A/P10062039 (PORTABLE OXYGEN CYLINDER),FW2,CHQ,D,140,01.12.2025,---,0,
FF350FH/FUERA DE FASE 350 FH(3),,CIF,H,1272:12,01.12.2025,---,0,
DK120/90/AT150565 TE(TESTING) / TESTING,A,CMB,ID,140,01.12.2025,---,0,
IC01/INTERMEDIATE CHECK 1(1),,CPJ,H,1266:37,01.12.2025,---,0,
E190-21-0003/REPLACE PROGRAM OF THE PACK BYPASS VALVE FILTERS(1),,CPJ,H,1266:37,01.12.2025,---,0,
E190-52-0002/PAX AND SERVICE DOORS - LUBRICATION POINTS ACCORDING TO(1),,CPJ,H,1266:37,01.12.2025,---,0,
"E190-51-0002/CLEANING AND RESTORATION OF CORROSION INHIBITION COMPOUND (CIC), IN ML(1)",,CPJ,H,1266:37,01.12.2025,---,0,
E190-21-0005/REPLACEMENT PROGRAM OF TRIM AIR MODULATING FILTERS(1),,CPJ,H,1266:37,01.12.2025,---,0,
E190-44-0001/IFE - CLEANING OF THE EQUIPMENT AND REPLACEMENT OF FILTERS(1),,CPJ,H,1266:37,01.12.2025,---,0,
E190-25-0016/EGA CHART INSTALLATION CHECK(1),,CPJ,H,1266:37,01.12.2025,---,0,
E190-24-0001/SPDA CLEANING PROGRAM(1),,CPJ,H,1266:37,01.12.2025,---,0,
27-00-00-001C-U (0) / POWER CONTROL UNITS (PCU) - INTEGRITY TEST (1),,CPJ,H,1266:37,01.12.2025,---,0,
FF2500FH/2000FC/12MO/FUERA DE FASE 2500 FH/2000 FC/12 MO,,GIQ,H,1272:48,01.12.2025,---,0,
REPLACE RT-A1200/D58318489 (HALON PORTABLE EXTINGUISHER),FW2,CDZ,D,141,02.12.2025,---,0,
REPLACE 90000581-1WTA/JUL10-3208 (NOSE WHEEL TIRE ASSY),002,CHQ,C,921,02.12.2025,---,0,
FF6000FH/24MO/FUERA DE FASE FF 6000 FH/24 MO,,CID,D,141,02.12.2025,---,0,
7517400-950/1106H327 FT(FUNCTIONAL TEST) / ATC FUNCTIONAL TEST (RAAC 91.413),F,CID,D,141,02.12.2025,---,0,
7517400-950/1010G651 FT(FUNCTIONAL TEST) / ATC FUNCTIONAL TEST (RAAC 91.413),A,CID,D,141,02.12.2025,---,0,
REPLACE 453-5000/170-12948 (ELT MAIN ASSEMBLY),,CIE,D,141,02.12.2025,---,0,
REPLACE RT-A1200/Y-500701 (HALON PORTABLE EXTINGUISHER),FW1,CMA,D,141,02.12.2025,---,0,
FF12000FH/W8266386 /FUERA DE FASE 12000 FH,,CMB,H,1280:11,02.12.2025,14.09.2025,CMB28951,8266386
FF2500FH/2000FC/12MO/FUERA DE FASE 2500 FH/2000 FC/12 MO,,CEU,D,142,03.12.2025,---,0,
REPLACE 01N65920/06 44 1318 (ELT (MODEL 406S)),U,CEU,D,142,03.12.2025,---,0,
REPLACE 501-1228-04/83922 (FLY-BY-WIRE BATTERY),U,CEV,D,142,03.12.2025,---,0,
9750390/POSIBLE EXCEDENCIA HARD LANDING - REF TA 59568 POR REPORTE FOQA - POSIBLE EXCEDENCIA DE HARD L...,,CHR,H,1291:30,03.12.2025,---,0,9750390
FF6MO/FUERA DE FASE DE 6 MO,,CID,D,142,03.12.2025,---,0,
GNRL-38-0001/POTABLE WATER SYSTEM. INCORPORATION OF STERILIZATION CONTROL CHART,,CID,D,142,03.12.2025,---,0,
FF350FH/FUERA DE FASE 350 FH(3),,CIE,H,1289:12,03.12.2025,---,0,
GNRL-23-0001/ANNUAL OPERATIONAL TEST OF THE COCKPIT VOICE RECORDER.,,CIE,D,142,03.12.2025,---,0,
REPLACE RT-A1200/D58318492 (HALON PORTABLE EXTINGUISHER),AF1,CIG,D,142,03.12.2025,---,0,
REPLACE 01N65920/17 40 3457 (ELT (MODEL 406S)),U,CIH,D,142,03.12.2025,---,0,
"REPLACE 104003-2/EF1592 (SLIDE ASSY, FWD)",SVC,CMB,D,142,03.12.2025,---,0,
E190-56-0002/COCKPIT WINDSHIELD RH REPETITIVE INSPECTIONS,,CPJ,H,1281:51,03.12.2025,---,0,
E190-56-0001/COCKPIT WINDSHIELD LH REPETITIVE INSPECTIONS,,CPJ,H,1281:51,03.12.2025,---,0,
REPLACE RT-A1200/D58293606 (HALON PORTABLE EXTINGUISHER),FW2,CHO,D,143,04.12.2025,---,0,
E190-34-0001/WEATHER RADAR – ELECTRICAL WIRING INSPECTION(1),,CHR,D,143,04.12.2025,---,0,
REPLACE 01N65920/09 30 4717 (ELT (MODEL 406S)),U,CID,D,143,04.12.2025,---,0,
FF6MO/FUERA DE FASE DE 6 MO,,CIE,D,143,04.12.2025,---,0,
FF12MO/FUERA DE FASE 12 MO,,CIE,D,143,04.12.2025,---,0,
E190-23-0001/SELCAL CODE VERIFICATION,,CIE,D,143,04.12.2025,---,0,
E190-71-0021/RH - THRUST REVERSER ASSEMBLY; TRACK LINERS LUBRICATION,,CIE,D,143,04.12.2025,---,0,
E190-71-0020/LH - THRUST REVERSER ASSEMBLY; TRACK LINERS LUBRICATION,,CIE,D,143,04.12.2025,---,0,
